1108,22742,11318 1
1112,11280,5746 1
2117,4288,16630 1
2108,26350,18650 1
2109,25146,6331 1
2111,18208,17898 1
2106,13786,4615 1
1109,6974,15393 1
2109,14112,24756 1
1118,4051,19550 1
2107,24728,11230 1
1109,12956,15276 1
2101,20353,11359 1
1117,7212,3148 1
1118,9318,4002 1
2119,18217,16737 1
2107,20341,20498 1
2118,6792,2511 1
2106,23169,23608 1
1119,26798,20686 1
1119,12522,8536 1
1101,9604,4780 1
1111,2916,12454 1
1113,29009,17236 1
1111,20543,3859 1
1116,21318,1426 1
2112,11503,7221 1
1108,19878,6735 1
2115,3938,10921 1
2118,3479,16172 1
1101,4631,4984 1
2105,12225,12161 1
2103,15203,19473 1
1101,24295,5016 1
1101,26043,5019 1
1101,24548,5019 1
2110,8382,19313 1
2113,18610,3139 1
1107,28741,10025 1
1114,7922,15567 1
2117,10421,15356 1
2119,21970,24782 1
2116,7705,6897 1
1101,22698,5194 1
1106,14172,14287 1
1114,7103,14085 1
1108,22837,6588 1
2114,24702,20973 1
2117,18438,10552 1
1106,4672,19260 1
2104,26120,11234 1
2105,24374,16013 1
1110,14484,15468 1
2114,13809,22089 1
1117,6099,14004 1
2119,10981,17809 1
2104,8592,20116 1
2108,20382,18136 1
1118,23219,6724 1
2117,14255,14469 1
1101,23961,5419 1
1101,20155,5441 1
2115,26078,6101 1
1118,8652,5751 1
2107,19472,23673 1
2107,11300,21934 1
1112,27823,6690 1
2108,9662,8933 1
2112,18754,23730 1
1116,2580,9240 1
2108,18269,4854 1
2115,14806,12232 1
2103,6434,18133 1
1112,24717,21236 1
1101,27215,5616 1
1101,17275,5621 1
1111,26746,6377 1
1101,8176,5630 1
2110,8998,2050 1
1101,17879,5641 1
2113,26084,13287 1
1101,26515,5690 1
2118,27541,10394 1
1101,4774,5697 1
2103,4871,20532 1
2117,17242,5380 1
1107,22780,2864 1
1117,11275,15484 1
2108,11449,1537 1
2115,24109,8970 1
2119,18603,6771 1
1101,27483,5804 1
2110,7593,22046 1
1110,15424,23904 1
1117,22642,8194 1
1108,9076,19916 1
2106,6539,12541 1
1119,12647,9630 1
2115,17560,24625 1
2114,8739,14936 1
1111,27513,20426 1
1111,24537,22368 1
1106,15591,4134 1
2109,25735,17805 1
2116,6949,22550 1
2119,22150,11067 1
2119,3522,13137 1
1118,17640,1579 1
1115,20879,13093 1
1109,13497,3047 1
2103,6654,21115 1
2108,22444,16919 1
1106,13647,19309 1
2117,11729,24765 1
1101,24241,6020 1
2113,16314,2321 1
